iniciado/0;exp_dip/0;exp_sen;per_ing;ses_ing;tipo_doc;titulo;sumario
DIPUTADOS;0001-PE-83;;101;EXTRAORDINARIAS;MENSAJE 147 DEL PODER EJECUTIVO;<CS:Titulo>Título:  </CS><FD:TITULO>CONVOCATORIA A SESIONES EXTRAORDINARIAS A PARTIR DEL 15 DE DICIEMBRE DE 1983, REMISION DEL DECRETO 146/83 (13/12/1983).</FD:TITULO>;"<CS:Titulo>Sumario: </CS><FD:TITULO>TEMARIO: DEROGACION DE LA LEY DE AMNISTIA; PROYECTO DE LEY DE PROTECCION DEL ORDEN CONSTITUCIONAL Y DE LA VIDA DEMOCRATICA; MODIFICACION DEL CODIGO PENAL EN MATERIA DE TORTURAS; MODIFICACIONES AL CODIGO DE PROCEDIMIENTOS EN MATERIA PENAL; APLICACION DEL RECURSO DE HABEAS CORPUS A LAS CONDENAS DICTADAS POR TRIBUNALES MILITARES RESPECTO DE CIVILES; MODIFICACIONES AL CODIGO PENAL EN MATERIA DE CONDENA CONDICIONAL Y REINCIDENCIA; MODIFICACIONES AL CODIGO DE PROCEDIMIENTOS EN MATERIA PENAL SOBRE EXCARCELACION; MODIFICACION DEL CODIGO DE JUSTICIA MILITAR PREVIENDO LA REVISION JURISDICCIONAL ORDINARIA DE LAS SENTENCIAS DE LOS TRIBUNALES MILITARES.</FD:TITULO>"
DIPUTADOS;0009-PE-83;;101;EXTRAORDINARIAS;MENSAJE 149 DEL PODER EJECUTIVO;"<CS:Titulo>Título:  </CS><FD:TITULO>AMPLIACION DEL TEMARIO DE LA CONVOCATORIA A SESIONES EXTRAORDINARIAS; REMISION DEL DECRETO 148/83 (13/12/1983).</FD:TITULO>";"<CS:Titulo>Sumario: </CS><FD:TITULO>TEMARIO: TRATAMIENTO POR EL SENADO DE LOS ACUERDOS A PRESTAR A LOS MIEMBROS DE LA CORTE SUPREMA DE JUSTICIA DE LA NACION Y AL PROCURADOR GENERAL DE LA NACION; LEY DE APROBACION DEL REGIMEN PROVISORIO SOBRE NORMALIZACION DE LAS UNIVERSIDADES NACIONALES INSTITUIDO POR EL DECRETO 154/83 DEL 13/12/1983.</FD:TITULO>"
DIPUTADOS;0012-PE-83;;101;EXTRAORDINARIAS;MENSAJE 191 DEL PODER EJECUTIVO;"<CS:Titulo>Título:  </CS><FD:TITULO>AMPLIACION DEL TEMARIO DE LA CONVOCATORIA A SESIONES EXTRAORDINARIAS; REMISION DEL DECRETO 190/83 (16/12/1983).</FD:TITULO>";"<CS:Titulo>Sumario: </CS><FD:TITULO>TEMARIO: ACUERDO PARA LA DESIGNACION DE EMBAJADORES EXTRAORDINARIOS Y PLENIPOTENCIARIOS, DE CONFORMIDAD CON LA LEY 20957 DEL SERVICIO EXTERIOR DE LA NACION; LEY DE REAPERTURA DE LA UNIVERSIDAD NACIONAL DE LUJAN.</FD:TITULO>"
DIPUTADOS;0013-PE-83;;101;EXTRAORDINARIAS;MENSAJE 194 DEL PODER EJECUTIVO;"<CS:Titulo>Título:  </CS><FD:TITULO>AMPLIACION DEL TEMARIO DE LA CONVOCATORIA A SESIONES EXTRAORDINARIAS; REMISION DEL DECRETO 193/83 (16/12/1983).</FD:TITULO>";"<CS:Titulo>Sumario: </CS><FD:TITULO>TEMARIO: APROBACION DE LA CONVENCION AMERICANA SOBRE DERECHOS HUMANOS (PACTO SAN JOSE DE COSTA RICA); NORMALIZACION DEL PERSONAL DEL SERVICIO EXTERIOR DE LA NACION; APROBACION DEL PACTO INTERNACIONAL DE DERECHOS ECONOMICOS, SOCIALES Y CULTURALES, DEL PACTO DE DERECHOS CIVILES Y POLITICOS Y EL PROTOCOLO FACULTATIVO DE ESTE PACTO ADOPTADOS POR RESOLUCION 2200 (XXI) DE LA ASAMBLEA GENERAL DE LA ONU Y RECONOCIMIENTO DE LA COMPETENCIA DEL COMITE DE DERECHOS HUMANOS CREADO POR EL PACTO INTERNACIONAL DE DERECHOS CIVILES Y POLITICOS; MODIFICACION DE LAS NORMAS QUE REGULAN EL PAGO DEL SUELDO ANUAL COMPLEMENTARIO (SAC); IMPLEMENTACION DE UN REGIMEN DE ACTUALIZACION DEL COSTO O PRECIO DE LA HACIENDA DE ESTABLECIMIENTOS GANADEROS CON SISTEMA PARA LA EVALUACION DE SUS INVENTARIOS; REFORMAS A LA LEY 21740 (REGIMEN DE LA JUNTA NACIONAL DE CARNES); FIJACION DE LA TASA DE ESTADISTICA PARA LAS OPERACIONES DE IMPORTACION; MODIFICACION DE LA LEY DE IMPUESTOS INTERNOS (TO 1979); MODIFICACION A LA LEY DEL IMPUESTO SOBRE LOS CAPITALES, A LA LEY DEL IMPUESTO SOBRE EL PATRIMONIO NETO, A LA LEY DEL IMPUESTO A LAS GANANCIAS Y SOBRE LA TRANSFERENCIA DE TITULOS VALORES; REFORMA DE LA LEY DEL SALARIO VITAL MINIMO Y MOVIL; LEY DE REORDENAMIENTO SINDICAL Y REGIMEN ELECTORAL PARA LA NORMALIZACION DE LOS SINDICATOS; LEY DE PROMOCION DE LAS EXPORTACIONES; RESTITUCION DE LAS CONTRIBUCIONES CON DESTINO AL FONDO NACIONAL DE LA VIVIENDA; RESTITUCION AL INTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA (INTA) DE LA AUTARQUIA INSTITUCIONAL Y FINANCIERA; LEY DE ESTABLECIMIENTO DEL PLAN ALIMENTARIO NACIONAL; REFORMAS A LA CARTA ORGANICA DEL BANCO HIPOTECARIO NACIONAL; LEY DE REFORMA A LOS ARITUCLOS 11 Y 13 DE LA CARTA ORGANICA DE LA CAJA NACIONAL DE AHORRO Y SEGURO (CONSTITUCION DEL DIRECTORIO).</FD:TITULO>"
DIPUTADOS;0035-PE-83;;101;EXTRAORDINARIAS;MENSAJE 267 DEL PODER EJECUTIVO;"<CS:Titulo>Título:  </CS><FD:TITULO>AMPLIACION DEL TEMARIO DE LA CONVOCATORIA A SESIONES EXTRAORDINARIAS; REMISION DEL DECRETO 266/83 (22/12/1983).</FD:TITULO>";<CS:Titulo>Sumario: </CS><FD:TITULO>TEMARIO: DEROGACION DE LA LEY 21795 Y RESTITUCION DE LA PLENA VIGENCIA DE LAS LEYES 346, 16801 Y 20835 (SOBRE CIUDADANIA Y NACIONALIZACION)</FD:TITULO>
DIPUTADOS;0037-PE-83;;101;EXTRAORDINARIAS;MENSAJE 293 DEL PODER EJECUTIVO;"<CS:Titulo>Título:  </CS><FD:TITULO>AMPLIACION DEL TEMARIO DE LA CONVOCATORIA A SESIONES EXTRAORDINARIAS; REMISION DEL DECRETO 292/83 (27/12/1983).</FD:TITULO>";<CS:Titulo>Sumario: </CS><FD:TITULO>TEMARIO: DEROGACION DE LA LEY 23013 RECOBRANDO SU VIGENCIA LAS DISPOSICIONES PREVISTAS EN LA LEYES 11683 (TO 1978) Y 22091 PARA LA DIRECCION GENERAL IMPOSITIVA Y ADMINISTRACION NACIONAL DE ADUANAS.</FD:TITULO>
SENADO;;0244-S-88;106;ORDINARIAS;PROYECTO DE RESOLUCION;<CS:Titulo>Título:  </CS><FD:TITULO>REALIZACION EN BUENOS AIRES, ENTRE EL 17 Y 21/10/88, DE UN ENCUENTRO LATINOAMERICANO DE JURISTAS EXPERTOS, FUNCIONARIOS DE LINEAS AEREAS, DIRECCIONES NACIONALES DE AVIACION CIVIL, ETCETERA, PARA INTERCAMBIAR EXPERIENCIAS Y NORMATIVAS SOBRE EL TEMA AEREO Y ESPACIAL.</FD:TITULO>;<CS:Titulo>Sumario: </CS><FD:TITULO>A FIN DE PROMOVER EN LOS PAISES DEL AREA LAS LEYES, REGLAMENTOS Y CONVENIOS QUE PERMITAN EL DESARROLLO, LA COMPLEMENTACION E INTEGRACION EN LA MATERIA. ORGANIZACION Y REALIZACION POR LA COMISION DE TRANSPORTES DEL SENADO.</FD:TITULO>
SENADO;0111-S-88;0027-S-88;106;ORDINARIAS;PROYECTO DE LEY;<CS:Titulo>Título:  </CS><FD:TITULO>DEFENSA DE LA MUSICA ARGENTINA, Y DE COMPOSITORES ARGENTINOS. (REPRODUCCION DEL EXPEDIENTE 0678-S-86).</FD:TITULO>;<CS:Titulo>Sumario: </CS><FD:TITULO>CONCEPTO, DIFUSION, DIFUSION EN VIVO, MUSICOS EXTRANJEROS, CONCURSO ANUAL, PREMIOS NACIONALES DE MUSICA Y DE INVESTIGACION MUSICOLOGICA, FRANQUICIAS ESPECIALES, INSTITUTO NACIONAL DE MUSICOLOGIA CARLOS VEGA. INFRACCIONES Y PENALIDADES, AUTORIDAD DE APLICACION.</FD:TITULO>
SENADO;;0094-S-88;106;ORDINARIAS;PROYECTO DE COMUNICACION;<CS:Titulo>Título:  </CS><FD:TITULO>RESTABLECIMIENTO DEL SERVICIO TELEFONICO PUBLICO EN LA LOCALIDAD DE PUERTO BERMEJO O INSTALACION DE UN RADIOENLACE POR CONVENIO CON ANTELCO (EMPRESA TELEFONICA PARAGUAYA) QUE PERMITA UTILIZAR LA CENTRAL TELEFONICA DE LA LOCALIDAD DE PILAR.</FD:TITULO>;<CS:Titulo>Sumario: </CS><FD:TITULO>SOLICITUD AL PODER EJECUTIVO NACIONAL A TRAVES DE LA EMPRESA NACIONAL DE TELECOMUNICACIONES, ENTEL.</FD:TITULO>
SENADO;;0236-S-88;106;ORDINARIAS;PROYECTO DE LEY;"<CS:Titulo>Título:  </CS><FD:TITULO>IMPUESTO AL VALOR AGREGADO - IVA - (LEY 23349); MODIFICACION.</FD:TITULO>";<CS:Titulo>Sumario: </CS><FD:TITULO>SUSTITUCION DEL TEXTO DE LA COLUMNA DE OBSERVACIONES DE LA PLANILLA ANEXA AL ARTICULO 6 (DESGRAVACION DE ALIMENTOS PARA BOVINOS, OVINOS, EQUINOS, PORCINOS, CAPRINOS, AVES DE CORRAL Y CONEJOS).</FD:TITULO>
